distance,consume,speed,temp_inside,temp_outside,price_per_liter,AC,rain,sun,gas_type,amount_per_consumption,amount_per_km,temp_spread
12.3,6.1,40,21.5,6,1.38,0,0,0,0,8.418,0.684390243902439,15.5
21.1,4.6,36,21.5,8,1.38,0,0,0,0,6.347999999999999,0.3008530805687203,13.5
21.1,4.8,43,21.5,7,1.38,0,0,0,0,6.624,0.3139336492890995,14.5
22.7,4.7,55,21.5,6,1.38,0,0,0,0,6.486,0.285726872246696,15.5
44.4,4.8,38,21.5,8,1.38,0,0,0,0,6.624,0.1491891891891892,13.5
35.8,4.4,51,21.5,6,1.38,0,0,0,0,6.072,0.16960893854748604,15.5
11.8,4.9,44,21.5,0,1.38,0,0,0,0,6.762,0.573050847457627,21.5
26.2,4.9,42,21.5,6,1.38,0,0,0,0,6.762,0.2580916030534351,15.5
40.6,4.4,44,21,3,1.38,0,0,0,0,6.072,0.1495566502463054,18.0
12.4,5.3,38,21,-5,1.38,0,0,0,0,7.313999999999999,0.5898387096774192,26.0
14.1,5.3,47,21,-3,1.38,0,0,0,0,7.313999999999999,0.5187234042553192,24.0
58.7,4.8,75,21,0,1.38,0,0,0,0,6.624,0.1128449744463373,21.0
16.2,5.2,29,21,0,1.38,0,0,0,0,7.175999999999999,0.44296296296296295,21.0
12.3,4.9,50,22.5,0,1.38,0,0,0,0,6.762,0.5497560975609755,22.5
12.3,7.1,52,22.5,0,1.38,1,1,0,0,9.797999999999998,0.7965853658536584,22.5
12.4,5.2,51,22.5,1,1.38,0,0,0,0,7.175999999999999,0.5787096774193548,21.5
31.8,4.7,59,22.5,3,1.38,0,0,0,0,6.486,0.20396226415094337,19.5
12.3,5.1,55,22.5,8,1.38,0,0,0,0,7.037999999999999,0.5721951219512195,14.5
51.6,5,73,22.5,12,1.38,0,0,0,0,6.8999999999999995,0.13372093023255813,10.5
38.6,4.6,44,22.5,10,1.38,0,0,0,0,6.347999999999999,0.16445595854922276,12.5
12.3,4.8,41,22.5,7,1.38,0,0,0,0,6.624,0.5385365853658536,15.5
81.2,4.4,69,22,13,1.38,0,0,0,0,6.072,0.0747783251231527,9.0
130.3,4.6,85,22,12,1.38,0,0,0,0,6.347999999999999,0.04871834228702992,10.0
67.2,4.3,67,22,18,1.38,0,0,0,0,5.933999999999999,0.08830357142857141,4.0
43.7,4.7,44,22,9,1.46,0,1,0,1,6.862,0.15702517162471394,13.0
12.1,4.2,43,22,4,1.46,0,0,0,1,6.132,0.5067768595041322,18.0
56.1,4.8,82,22,13,1.46,0,0,0,1,7.008,0.12491978609625669,9.0
39,4.1,61,22,16,1.46,0,0,0,1,5.986,0.1534871794871795,6.0
11.8,4.5,41,21.5,13,1.46,0,0,0,1,6.57,0.5567796610169491,8.5
38.5,4.8,63,21.5,14,1.46,0,0,0,1,7.008,0.18202597402597404,7.5
28.2,4.6,54,21.5,14,1.46,0,0,0,1,6.715999999999999,0.23815602836879432,7.5
2.9,7.4,24,21.5,14,1.46,0,0,0,1,10.804,3.7255172413793107,7.5
6.1,5.6,24,21.5,13,1.46,0,0,0,1,8.176,1.3403278688524591,8.5
19.6,4.9,43,21.5,13,1.46,0,0,0,1,7.154,0.365,8.5
13.6,4.5,44,19,18,1.46,0,0,0,1,6.57,0.4830882352941177,1.0
8.7,5.3,28,22.5,12,1.46,1,1,0,1,7.7379999999999995,0.8894252873563219,10.5
7.9,4.7,31,22.5,12,1.46,1,0,0,1,6.862,0.8686075949367088,10.5
2.4,9,26,20,10,1.46,0,0,0,1,13.14,5.4750000000000005,10.0
4.9,6.3,26,20,10,1.46,0,0,0,1,9.198,1.877142857142857,10.0
18.1,3.6,36,20,19,1.46,0,0,0,1,5.256,0.2903867403314917,1.0
25.9,3.7,39,20,21,1.46,0,0,0,1,5.402,0.20857142857142857,-1.0
1.3,11.5,21,20,10,1.46,0,0,0,1,16.79,12.915384615384614,10.0
14.1,5,22,20,12,1.46,0,0,0,1,7.3,0.5177304964539007,8.0
13.4,5.5,31,20,9,1.46,0,0,0,1,8.03,0.5992537313432835,11.0
6.4,4.7,33,20,8,1.46,0,0,0,1,6.862,1.0721874999999998,12.0
12.9,4.5,42,20,13,1.46,0,0,0,1,6.57,0.5093023255813953,7.0
12.1,4.4,33,22.5,5,1.46,0,0,0,1,6.424,0.530909090909091,17.5
15.7,4.1,32,22.5,13,1.46,0,0,0,1,5.986,0.3812738853503185,9.5
16.2,4.4,26,22.5,11,1.46,0,0,0,1,6.424,0.39654320987654323,11.5
12.8,4.6,22,22.5,12,1.46,0,0,0,1,6.715999999999999,0.5246874999999999,10.5
19,4.4,58,22.5,17,1.46,0,0,1,1,6.424,0.33810526315789474,5.5
29,4,27,22.5,12,1.46,0,0,0,1,5.84,0.2013793103448276,10.5
12.1,5,32,22.5,9,1.46,0,0,0,1,7.3,0.6033057851239669,13.5
12.3,5.2,55,22.5,10,1.46,0,0,0,1,7.592,0.6172357723577235,12.5
24.8,4,56,22.5,11,1.46,0,0,0,1,5.84,0.23548387096774193,11.5
12.9,5.1,34,22.5,8,1.46,0,1,0,1,7.446,0.5772093023255813,14.5
11.8,4.5,39,22.5,3,1.46,0,0,0,1,6.57,0.5567796610169491,19.5
31.4,4.6,62,22.5,11,1.46,0,0,0,1,6.715999999999999,0.21388535031847133,11.5
19,5.1,53,22.5,4,1.46,0,1,0,1,7.446,0.39189473684210524,18.5
13,5.7,38,22.5,3,1.46,1,1,0,1,8.322,0.6401538461538461,19.5
11.8,4.8,42,22.5,2,1.46,0,0,0,1,7.008,0.5938983050847457,20.5
13,6.2,32,22.5,4,1.46,0,0,0,1,9.052,0.6963076923076923,18.5
11.8,5,43,22.5,1,1.46,0,0,0,1,7.3,0.6186440677966101,21.5
27.1,5,69,22.5,8,1.46,0,0,0,1,7.3,0.26937269372693723,14.5
5.2,4.6,38,22.5,8,1.46,0,0,0,1,6.715999999999999,1.2915384615384613,14.5
19,4.5,29,22.5,10,1.38,0,0,0,0,6.209999999999999,0.3268421052631578,12.5
12.4,4.8,38,22.5,1,1.38,0,0,0,0,6.624,0.5341935483870968,21.5
25.2,5,55,22.5,9,1.38,0,0,0,0,6.8999999999999995,0.2738095238095238,13.5
14.3,4.8,36,22.5,10,1.38,0,0,0,0,6.624,0.46321678321678317,12.5
11.8,4.6,40,22.5,2,1.38,0,0,0,0,6.347999999999999,0.5379661016949151,20.5
16.9,4.5,48,22.5,9,1.38,0,0,1,0,6.209999999999999,0.3674556213017751,13.5
12.4,4.6,55,22.5,11,1.38,0,0,1,0,6.347999999999999,0.5119354838709677,11.5
17.4,4.4,36,22.5,12,1.38,0,0,1,0,6.072,0.34896551724137936,10.5
9.2,5.7,33,22.5,8,1.38,0,1,0,0,7.866,0.855,14.5
12.3,5.8,54,22.5,10,1.38,0,1,0,0,8.004,0.6507317073170731,12.5
13,5.9,32,22.5,10,1.38,0,0,0,0,8.142,0.6263076923076922,12.5
11.8,6.1,16,22.5,6,1.38,0,1,0,0,8.418,0.7133898305084745,16.5
13,5.7,37,22.5,11,1.38,0,1,0,0,7.866,0.6050769230769231,11.5
12.3,5,42,22.5,10,1.38,0,0,0,0,6.8999999999999995,0.5609756097560975,12.5
12.3,5.2,57,22.5,15,1.38,0,0,1,0,7.175999999999999,0.5834146341463413,7.5
12.5,4.3,57,22.5,16,1.38,0,0,1,0,5.933999999999999,0.4747199999999999,6.5
31.5,4.1,30,22.5,16,1.38,0,0,1,0,5.6579999999999995,0.1796190476190476,6.5
11.8,4.4,42,22.5,8,1.38,0,0,0,0,6.072,0.5145762711864407,14.5
24.9,4.5,53,22.5,14,1.38,0,0,0,0,6.209999999999999,0.24939759036144576,8.5
17,3.9,46,22.5,14,1.38,0,0,1,0,5.382,0.3165882352941176,8.5
2,8.1,20,22.5,14,1.38,0,0,0,0,11.177999999999999,5.5889999999999995,8.5
11.8,4.4,33,22.5,8,1.38,0,0,0,0,6.072,0.5145762711864407,14.5
7.4,5,31,22.5,12,1.38,0,0,0,0,6.8999999999999995,0.9324324324324323,10.5
12.4,4.7,55,22.5,14,1.38,0,0,1,0,6.486,0.5230645161290323,8.5
2,6,22,22.5,14,1.38,0,0,0,0,8.28,4.14,8.5
14,5,41,22.5,8,1.38,0,0,0,0,6.8999999999999995,0.4928571428571428,14.5
25.7,5,45,22.5,7,1.38,0,0,0,0,6.8999999999999995,0.26848249027237353,15.5
11.8,4.5,28,22.5,12,1.38,0,0,0,0,6.209999999999999,0.5262711864406778,10.5
4.1,5.4,24,22.5,13,1.38,0,0,0,0,7.452,1.8175609756097562,9.5
4.2,5.6,29,22,17,1.38,0,0,0,0,7.727999999999999,1.8399999999999996,5.0
4.2,3.9,29,22,18,1.38,0,0,1,0,5.382,1.2814285714285714,4.0
16,4,40,22,10,1.38,0,0,0,0,5.52,0.345,12.0
15.4,4.5,50,22,14,1.38,0,0,0,0,6.209999999999999,0.4032467532467532,8.0
16,3.8,41,22,12,1.38,0,0,0,0,5.244,0.32775,10.0
4.2,5.6,32,22,18,1.38,0,0,0,0,7.727999999999999,1.8399999999999996,4.0
101.9,5.2,75,22,18,1.38,0,0,0,0,7.175999999999999,0.07042198233562315,4.0
93.9,4.8,88,23,18,1.38,1,0,1,0,6.624,0.07054313099041533,5.0
25.7,4.9,50,22,10,1.46,0,1,0,1,7.154,0.2783657587548638,12.0
16,4.1,40,22,10,1.46,0,0,0,1,5.986,0.374125,12.0
16.1,4.5,32,22,19,1.46,0,0,0,1,6.57,0.40807453416149064,3.0
16,4.4,40,22,7,1.46,1,1,0,1,6.424,0.4015,15.0
16,4.5,41,22,11,1.46,0,0,0,1,6.57,0.410625,11.0
24.7,4.5,26,22,10,1.46,0,0,0,1,6.57,0.26599190283400814,12.0
16,3.9,42,22,8,1.46,0,0,0,1,5.694,0.355875,14.0
15.4,4.6,43,22,16,1.46,0,0,0,1,6.715999999999999,0.43610389610389605,6.0
16,3.8,40,22,8,1.46,0,0,0,1,5.548,0.34675,14.0
32.1,4.5,50,22,16,1.46,0,0,0,1,6.57,0.2046728971962617,6.0
25.9,4.4,40,22,14,1.46,0,0,0,1,6.424,0.24803088803088805,8.0
48.6,4.3,44,22,12,1.46,0,0,0,1,6.278,0.12917695473251029,10.0
37.2,4,45,22,20,1.46,0,0,1,1,5.84,0.15698924731182795,2.0
28.8,3.9,35,22,15,1.46,0,0,1,1,5.694,0.19770833333333332,7.0
6.7,5,30,22,17,1.46,0,0,0,1,7.3,1.0895522388059702,5.0
7.4,4.1,25,22,18,1.46,0,0,1,1,5.986,0.8089189189189189,4.0
17.3,4.1,22,22,25,1.46,0,0,1,1,5.986,0.3460115606936416,-3.0
6.6,5.6,43,22,16,1.46,0,0,0,1,8.176,1.2387878787878788,6.0
14.3,4.1,26,22,20,1.46,0,0,0,1,5.986,0.41860139860139856,2.0
13.3,4.6,33,22,18,1.46,0,0,0,1,6.715999999999999,0.5049624060150375,4.0
8.3,4.9,26,22,23,1.46,0,0,0,1,7.154,0.8619277108433734,-1.0
12.7,4.5,39,22,27,1.46,0,0,1,1,6.57,0.5173228346456693,-5.0
16.5,4.1,47,22,14,1.46,0,0,0,1,5.986,0.36278787878787877,8.0
20.6,4.1,38,22,21,1.46,0,0,0,1,5.986,0.2905825242718446,1.0
16.3,4.5,58,22,16,1.46,0,0,0,1,6.57,0.4030674846625767,6.0
18.7,4.2,65,25,18,1.46,1,0,1,1,6.132,0.32791443850267377,7.0
36.5,3.9,54,23,18,1.46,0,0,1,1,5.694,0.156,5.0
19,5,35,22,15,1.46,1,0,1,1,7.3,0.38421052631578945,7.0
16.6,4.4,46,22,5,1.46,1,0,0,1,6.424,0.3869879518072289,17.0
29.9,4.5,32,22,18,1.46,1,0,0,1,6.57,0.21973244147157192,4.0
16,3.8,42,22,11,1.46,0,0,0,1,5.548,0.34675,11.0
21.1,5.1,33,22,10,1.46,0,1,0,1,7.446,0.3528909952606635,12.0
16,3.9,40,22,10,1.46,0,0,0,1,5.694,0.355875,12.0
11.9,5.3,34,22,13,1.46,0,0,0,1,7.7379999999999995,0.650252100840336,9.0
10.1,4.2,35,22,16,1.46,0,0,0,1,6.132,0.6071287128712871,6.0
31.9,4.3,33,22,16,1.46,0,0,0,1,6.278,0.1968025078369906,6.0
18.7,4,60,22,13,1.46,0,0,0,1,5.84,0.3122994652406417,9.0
10.8,4.7,48,22,17,1.46,0,0,1,1,6.862,0.6353703703703704,5.0
19.8,4,56,22,17,1.46,0,0,1,1,5.84,0.2949494949494949,5.0
11.3,4.3,38,22,17,1.46,0,0,0,1,6.278,0.555575221238938,5.0
11.5,5.3,53,22,15,1.46,0,0,0,1,7.7379999999999995,0.6728695652173913,7.0
21.4,5.2,51,22,13,1.46,0,0,0,1,7.592,0.3547663551401869,9.0
32,4.9,53,22,15,1.46,0,0,0,1,7.154,0.2235625,7.0
41.9,4.7,53,22,14,1.46,0,0,0,1,6.862,0.1637708830548926,8.0
